"name","url","effect"
"forewarn","https://pokeapi.co/api/v2/ability/108/","When this Pokémon enters battle, it reveals the move with the highest base power known by any opposing Pokémon to all participating trainers.

In the event of a tie, one is chosen at random.

Moves without a listed base power are assigned one as follows:

Power | Moves
----: | -----
  160 | One-hit KO moves: fissure, guillotine, horn drill, and sheer cold
  120 | Counter moves: counter, metal burst, and mirror coat
   80 | Variable power or set damage: crush grip, dragon rage, electro ball, endeavor, final gambit, flail, frustration, grass knot, gyro ball, heat crash, heavy slam, hidden power, low kick, natural gift, night shade, psywave, return, reversal, seismic toss, sonic boom, trump card, and wring out
    0 | Any such move not listed"
"unaware","https://pokeapi.co/api/v2/ability/109/","This Pokémon ignores other Pokémon's stat modifiers for the purposes of damage and accuracy calculation.

Effectively, this affects modifiers of every stat except Speed.

The power of punishment and stored power is calculated as usual.  When this Pokémon hurts itself in confusion, its stat modifiers affect damage as usual."
"tinted-lens","https://pokeapi.co/api/v2/ability/110/","This Pokémon deals twice as much damage with moves that are not very effective against the target."
"filter","https://pokeapi.co/api/v2/ability/111/","This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to solid rock."
"slow-start","https://pokeapi.co/api/v2/ability/112/","This Pokémon's Attack and Speed are halved for five turns upon entering battle.

This ability also takes effect when acquired during battle.  If this Pokémon loses its ability before the five turns are up, its Attack and Speed return to normal; if it then regains this ability without leaving battle, its Attack and Speed are halved again, but the counter keeps counting from where it was."
"scrappy","https://pokeapi.co/api/v2/ability/113/","This Pokémon ignores ghost-type Pokémon's immunity to normal- and fighting-type moves.

Ghost Pokémon's other types affect damage as usual."
"storm-drain","https://pokeapi.co/api/v2/ability/114/","All other Pokémon's single-target water-type moves are redirected to this Pokémon, if it is an eligible target.  Other Pokémon's Water moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability."
"ice-body","https://pokeapi.co/api/v2/ability/115/","This Pokémon heals for 1/16 of its maximum HP after each turn during hail, and it does not take hail damage regardless of type."
"solid-rock","https://pokeapi.co/api/v2/ability/116/","This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to filter."
"snow-warning","https://pokeapi.co/api/v2/ability/117/","The weather changes to hail when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or sand stream are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay."
"honey-gather","https://pokeapi.co/api/v2/ability/118/","This Pokémon has a chance of picking up honey after each battle.  This chance starts at 5% and rises another 5% after every tenth level: 5% from level 1–10, 10% from 11–20, and so on, up to 50% from 91–100.

This ability is checked after the battle ends, at which point any temporary ability changes have worn off."
"frisk","https://pokeapi.co/api/v2/ability/119/","When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers.

In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random."
"reckless","https://pokeapi.co/api/v2/ability/120/","This Pokémon's recoil moves and crash moves have 1.2× their base power.

struggle is unaffected.

The ""crash moves"" are the moves that damage the user upon missing: jump kick and high jump kick."
"multitype","https://pokeapi.co/api/v2/ability/121/","If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.

This Pokémon's held item, whether or not it is a Plate, cannot be taken by covet or thief, nor removed by knock off, nor traded by switcheroo or trick.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with sticky hold, this Pokémon cannot use fling, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.

This ability has no effect for any Pokémon other than arceus.  This ability cannot be traded with skill swap, nor copied with role play or trace, nor disabled with gastro acid, nor changed with worry seed.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  mold breaker cannot ignore this ability.

If a Pokémon Transforms into an Arceus with this ability, it will Transform into Arceus's default, normal-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form."
"flower-gift","https://pokeapi.co/api/v2/ability/122/","Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.

Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim."
"bad-dreams","https://pokeapi.co/api/v2/ability/123/","Opposing Pokémon take 1/8 of their maximum HP in damage after each turn while they are asleep."
"pickpocket","https://pokeapi.co/api/v2/ability/124/","Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon."
"sheer-force","https://pokeapi.co/api/v2/ability/125/","This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected."
"contrary","https://pokeapi.co/api/v2/ability/126/","Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa."
"unnerve","https://pokeapi.co/api/v2/ability/127/","Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry."
"defiant","https://pokeapi.co/api/v2/ability/128/","When any of this Pokémon's stats are lowered, its Attack rises by two stages.

If multiple stats are lowered at once, this ability takes effect with each stat lowered."
"defeatist","https://pokeapi.co/api/v2/ability/129/","This Pokémon's Attack and Special Attack are halved when it has half its HP or less."
"cursed-body","https://pokeapi.co/api/v2/ability/130/","Moves that hit this Pokémon have a 30% chance of being Disabled afterward."
"healer","https://pokeapi.co/api/v2/ability/131/","Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn."
"friend-guard","https://pokeapi.co/api/v2/ability/132/","All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it."
"weak-armor","https://pokeapi.co/api/v2/ability/133/","Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.

This ability triggers on every hit of a multiple-hit move."
"heavy-metal","https://pokeapi.co/api/v2/ability/134/","This Pokémon has double the usual weight for its species."
"light-metal","https://pokeapi.co/api/v2/ability/135/","This Pokémon has half the usual weight for its species."
"multiscale","https://pokeapi.co/api/v2/ability/136/","This Pokémon takes half as much damage when it is hit having full HP."
"toxic-boost","https://pokeapi.co/api/v2/ability/137/","This Pokémon has 1.5× its Attack when poisoned."
"flare-boost","https://pokeapi.co/api/v2/ability/138/","This Pokémon has 1.5× its Special Attack when burned."
"harvest","https://pokeapi.co/api/v2/ability/139/","After each turn, if the last item this Pokémon consumed was a Berry and it is not currently holding an item, it has a 50% chance of regaining that Berry, or a 100% chance during strong sunlight."
"telepathy","https://pokeapi.co/api/v2/ability/140/","This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it."
"moody","https://pokeapi.co/api/v2/ability/141/","After each turn, one of this Pokémon's stats at random rises two stages, and another falls one stage.

If a stat is already at 6 or -6 stages, it will not be chosen to be increased or decreased, respectively."
"overcoat","https://pokeapi.co/api/v2/ability/142/","This Pokémon does not take damage from weather."
"poison-touch","https://pokeapi.co/api/v2/ability/143/","This Pokémon's contact moves have a 30% chance of poisoning the target with each hit.

This counts as an extra effect for the purposes of shield dust.  This ability takes effect before mummy."
"regenerator","https://pokeapi.co/api/v2/ability/144/","This Pokémon regains 1/3 of its maximum HP when it is switched out for another Pokémon under any circumstances other than having fainted.

This ability does not take effect when a battle ends."
"big-pecks","https://pokeapi.co/api/v2/ability/145/","This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap."
"sand-rush","https://pokeapi.co/api/v2/ability/146/","This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type."
"wonder-skin","https://pokeapi.co/api/v2/ability/147/","Non-damaging moves have exactly 50% base accuracy against this Pokémon."
"analytic","https://pokeapi.co/api/v2/ability/148/","This Pokémon's moves have 1.3× their power when it moves last in a turn.

future sight and doom desire are unaffected."
"illusion","https://pokeapi.co/api/v2/ability/149/","This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.

Other damage, e.g. from weather or spikes, does not break the illusion, nor does damage done to a substitute.

If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order."
"imposter","https://pokeapi.co/api/v2/ability/150/","This Pokémon transforms into a random opponent upon entering battle.  This effect is identical to the move transform."
"infiltrator","https://pokeapi.co/api/v2/ability/151/","This Pokémon's moves ignore light screen, reflect, and safeguard."
"mummy","https://pokeapi.co/api/v2/ability/152/","Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.

multitype is unaffected.  If a Pokémon with moxie knocks this Pokémon out, the former's ability will change without taking effect."
"moxie","https://pokeapi.co/api/v2/ability/153/","This Pokémon's Attack rises one stage upon knocking out another Pokémon, even a friendly Pokémon.

This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through poison or spikes.

If this Pokémon knocks out a Pokémon with mummy, the former's ability will change without taking effect."
"justified","https://pokeapi.co/api/v2/ability/154/","Whenever a dark-type move hits this Pokémon, its Attack rises one stage.

The move is not negated in any way."
"rattled","https://pokeapi.co/api/v2/ability/155/","This Pokémon's Speed rises one stage with each hit from a damaging dark-, ghost-, or bug-type move."
"magic-bounce","https://pokeapi.co/api/v2/ability/156/","When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.

All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.

A move reflected by this ability or magic coat cannot be reflected back."
"sap-sipper","https://pokeapi.co/api/v2/ability/157/","Whenever a grass-type move hits this Pokémon, its Attack rises one stage, negating any other effect on it."
"prankster","https://pokeapi.co/api/v2/ability/158/","This Pokémon's non-damaging moves have their priority increased by one stage."
"sand-force","https://pokeapi.co/api/v2/ability/159/","During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type."
"iron-barbs","https://pokeapi.co/api/v2/ability/160/","Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to rough skin."
"zen-mode","https://pokeapi.co/api/v2/ability/161/","This Pokémon switches between Standard Mode and Zen Mode after each turn depending on its HP.  Below 50% of its maximum HP, it switches to Zen Mode, and at 50% or above, it switches to Standard Mode.

This Pokémon returns to Standard Mode upon leaving battle or losing this ability.  This ability has no effect if this Pokémon is not a darmanitan."
"victory-star","https://pokeapi.co/api/v2/ability/162/","All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle."
"turboblaze","https://pokeapi.co/api/v2/ability/163/","This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and teravolt."
"teravolt","https://pokeapi.co/api/v2/ability/164/","This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and turboblaze."
"aroma-veil","https://pokeapi.co/api/v2/ability/165/","Protects allies against moves that affect their mental state."
"flower-veil","https://pokeapi.co/api/v2/ability/166/","Protects friendly grass Pokémon from having their stats lowered by other Pokémon."
"cheek-pouch","https://pokeapi.co/api/v2/ability/167/","Restores HP upon eating a Berry, in addition to the Berry's effect."
"protean","https://pokeapi.co/api/v2/ability/168/","Changes the bearer's type to match each move it uses.

The type change takes place just before the move is used."
"fur-coat","https://pokeapi.co/api/v2/ability/169/","Halves damage from physical attacks."
"magician","https://pokeapi.co/api/v2/ability/170/","Steals the target's held item when the bearer uses a damaging move."
"bulletproof","https://pokeapi.co/api/v2/ability/171/","Protects against bullet, ball, and bomb-based moves."
"competitive","https://pokeapi.co/api/v2/ability/172/","Raises Special Attack by two stages upon having any stat lowered."
"strong-jaw","https://pokeapi.co/api/v2/ability/173/","Strengthens biting moves to 1.5× their power."
"refrigerate","https://pokeapi.co/api/v2/ability/174/","Turns the bearer's normal-type moves into ice-type moves.  Moves changed by this ability have 1.3× their power."
"sweet-veil","https://pokeapi.co/api/v2/ability/175/","Prevents friendly Pokémon from sleeping."
"stance-change","https://pokeapi.co/api/v2/ability/176/","Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield."
"gale-wings","https://pokeapi.co/api/v2/ability/177/","Raises flying moves' priority by one stage."
"mega-launcher","https://pokeapi.co/api/v2/ability/178/","Strengthens aura and pulse moves to 1.5× their power."
"grass-pelt","https://pokeapi.co/api/v2/ability/179/","Boosts Defense while grassy terrain is in effect."
"symbiosis","https://pokeapi.co/api/v2/ability/180/","Passes the bearer's held item to an ally when the ally uses up its item."
"tough-claws","https://pokeapi.co/api/v2/ability/181/","Strengthens moves that make contact to 1.33× their power."
"pixilate","https://pokeapi.co/api/v2/ability/182/","Turns the bearer's normal-type moves into fairy moves.  Moves changed by this ability have 1.3× their power."
"gooey","https://pokeapi.co/api/v2/ability/183/","Lowers attacking Pokémon's Speed by one stage on contact."
"aerilate","https://pokeapi.co/api/v2/ability/184/","Turns the bearer's normal-type moves into flying-type moves.  Moves changed by this ability have 1.3× their power."
"parental-bond","https://pokeapi.co/api/v2/ability/185/","Lets the bearer hit twice with damaging moves.  The second hit has half power."
"dark-aura","https://pokeapi.co/api/v2/ability/186/","Strengthens dark moves for all friendly and opposing Pokémon."
"fairy-aura","https://pokeapi.co/api/v2/ability/187/","Strengthens fairy moves for all friendly and opposing Pokémon."
"aura-break","https://pokeapi.co/api/v2/ability/188/","While this Pokémon is on the field, dark aura and fairy aura weaken moves of their respective types to 2/3 their power, rather than strengthening them."
"primordial-sea","https://pokeapi.co/api/v2/ability/189/","When this Pokémon enters battle or gains this ability, the weather becomes heavy rain.  Heavy rain has all the properties of rain dance and also causes damaging Fire moves to fail.

Heavy rain ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and desolate land.

air lock and cloud nine will prevent the effects of heavy rain, including allowing Fire moves to work, but will not allow the weather to be changed."
"desolate-land","https://pokeapi.co/api/v2/ability/190/","When this Pokémon enters battle or gains this ability, the weather becomes extremely harsh sunlight.  Extremely harsh sunlight has all the properties of sunny day and also causes damaging Water moves to fail.

Extremely harsh sunlight ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and primordial sea.

air lock and cloud nine will prevent the effects of extremely harsh sunlight, including allowing Water moves to work, but will not allow the weather to be changed."
"delta-stream","https://pokeapi.co/api/v2/ability/191/","When this Pokémon enters battle or gains this ability, the weather becomes a mysterious air current.  A mysterious air current causes moves to not be super effective against Flying; they do neutral damage instead.  anticipation and stealth rock are not affected.

The mysterious air current ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of desolate land and primordial sea.

air lock and cloud nine will prevent the effect of a mysterious air current, but will not allow the weather to be changed."
"stamina","https://pokeapi.co/api/v2/ability/192/","Raises this Pokémon's Defense by one stage when it takes damage from a move."
"wimp-out","https://pokeapi.co/api/v2/ability/193/","After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out."
"emergency-exit","https://pokeapi.co/api/v2/ability/194/","After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out."
"water-compaction","https://pokeapi.co/api/v2/ability/195/","Raises this Pokémon's Defense by two stages when it's hit by a Water move."
"merciless","https://pokeapi.co/api/v2/ability/196/","This Pokémon's moves critical hit against poisoned targets."
"shields-down","https://pokeapi.co/api/v2/ability/197/","When this Pokémon enters battle and at the end of each turn, if its HP is 50% or above, it changes into Meteor Form; otherwise, it changes into Core Form.  In Meteor Form, it cannot be given a major status ailment (though existing ones are not cured), cannot become drowsy from yawn, and cannot use rest (which will simply fail).

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Minior."
"stakeout","https://pokeapi.co/api/v2/ability/198/","This Pokémon's moves have double power against Pokémon that switched in this turn."
"water-bubble","https://pokeapi.co/api/v2/ability/199/","When this Pokémon is hit by a Fire move, the damage is halved.  When this Pokémon uses a Water move, the power is doubled. This Pokémon cannot be burned, and if it becomes burned, the burn is immediately cured."
"steelworker","https://pokeapi.co/api/v2/ability/200/","This Pokémon's Steel moves have 1.5× power."
"berserk","https://pokeapi.co/api/v2/ability/201/","Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage."
"slush-rush","https://pokeapi.co/api/v2/ability/202/","During Hail, this Pokémon has double Speed."
"long-reach","https://pokeapi.co/api/v2/ability/203/","A move used by this Pokémon will not make contact."
"liquid-voice","https://pokeapi.co/api/v2/ability/204/","When this Pokémon uses a move that is sound-based, that move's type is Water."
"triage","https://pokeapi.co/api/v2/ability/205/","This Pokémon's healing moves have their priority increased by 3."
"galvanize","https://pokeapi.co/api/v2/ability/206/","When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×."
"surge-surfer","https://pokeapi.co/api/v2/ability/207/","Doubles this Pokémon's Speed on Electric Terrain."
"schooling","https://pokeapi.co/api/v2/ability/208/","If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.

This ability cannot be replaced, copied, or nullified."
"disguise","https://pokeapi.co/api/v2/ability/209/","If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.

This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu."
"battle-bond","https://pokeapi.co/api/v2/ability/210/","Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.

This ability cannot be copied or replaced.  This ability only takes effect for Greninja."
"power-construct","https://pokeapi.co/api/v2/ability/211/","Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.

This ability cannot be copied or replaced.  This ability only takes effect for Zygarde."
"corrosion","https://pokeapi.co/api/v2/ability/212/","This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison."
"comatose","https://pokeapi.co/api/v2/ability/213/","This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on."
"queenly-majesty","https://pokeapi.co/api/v2/ability/214/","When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail."
"innards-out","https://pokeapi.co/api/v2/ability/215/","When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining."
"dancer","https://pokeapi.co/api/v2/ability/216/","Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards."
"battery","https://pokeapi.co/api/v2/ability/217/","Ally Pokémon's moves have their power increased to 1.3×."
"fluffy","https://pokeapi.co/api/v2/ability/218/","Damage from contact moves is halved.  Damage from Fire moves is doubled."
"dazzling","https://pokeapi.co/api/v2/ability/219/","When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail."
"soul-heart","https://pokeapi.co/api/v2/ability/220/","This Pokémon's Special Attack rises by one stage every time any Pokémon faints."
"tangling-hair","https://pokeapi.co/api/v2/ability/221/","When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage."
"receiver","https://pokeapi.co/api/v2/ability/222/","When an ally faints, this Pokémon gains its Ability."
"power-of-alchemy","https://pokeapi.co/api/v2/ability/223/","When an ally faints, this Pokémon gains its Ability."
"beast-boost","https://pokeapi.co/api/v2/ability/224/","Raises this Pokémon's highest stat by one stage when it faints another Pokémon."
"rks-system","https://pokeapi.co/api/v2/ability/225/","Changes this Pokémon's type to match its held Memory.

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Silvally."
"electric-surge","https://pokeapi.co/api/v2/ability/226/","When this Pokémon enters battle, it changes the terrain to electric terrain."
"psychic-surge","https://pokeapi.co/api/v2/ability/227/","When this Pokémon enters battle, it changes the terrain to psychic terrain."
"misty-surge","https://pokeapi.co/api/v2/ability/228/","When this Pokémon enters battle, it changes the terrain to misty terrain."
"grassy-surge","https://pokeapi.co/api/v2/ability/229/","When this Pokémon enters battle, it changes the terrain to grassy terrain."
"full-metal-body","https://pokeapi.co/api/v2/ability/230/","This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze."
"shadow-shield","https://pokeapi.co/api/v2/ability/231/","When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.

This ability cannot be nullified."
"prism-armor","https://pokeapi.co/api/v2/ability/232/","Super-effective damage this Pokémon takes is reduced to 0.75×.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze."
"neuroforce","https://pokeapi.co/api/v2/ability/233/","Increases super-effective damage dealt to 1.25×."
"intrepid-sword","https://pokeapi.co/api/v2/ability/234/","Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle."
"dauntless-shield","https://pokeapi.co/api/v2/ability/235/","Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle."
"libero","https://pokeapi.co/api/v2/ability/236/","Changes the Pokémon’s type to the type of the move it’s about to use. This works only once each time the Pokémon enters battle."
"ball-fetch","https://pokeapi.co/api/v2/ability/237/","At any time after the first Poké Ball is thrown and fails to catch a Pokémon, at the end of a turn, if a Pokémon with Ball Fetch is on the field and not holding another item, it will pick up the same type of ball as the first one thrown."
"cotton-down","https://pokeapi.co/api/v2/ability/238/","When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stats of all Pokémon except itself."
"propeller-tail","https://pokeapi.co/api/v2/ability/239/","Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves."
"mirror-armor","https://pokeapi.co/api/v2/ability/240/","Bounces back only the stat-lowering effects that the Pokémon receives."
"gulp-missile","https://pokeapi.co/api/v2/ability/241/","When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack."
"stalwart","https://pokeapi.co/api/v2/ability/242/","Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves."
"steam-engine","https://pokeapi.co/api/v2/ability/243/","Raises the user's Speed by three stages when it is hit by a Fire- or Water-type attack. The attack still deals damage."
"punk-rock","https://pokeapi.co/api/v2/ability/244/","Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves."
"sand-spit","https://pokeapi.co/api/v2/ability/245/","The Pokémon creates a sandstorm when it’s hit by an attack."
"ice-scales","https://pokeapi.co/api/v2/ability/246/","The Pokémon is protected by ice scales, which halve the damage taken from special moves."
"ripen","https://pokeapi.co/api/v2/ability/247/","Ripens Berries and doubles their effect."
"ice-face","https://pokeapi.co/api/v2/ability/248/","When an Eiscue that's in its Ice Face form is hit by a physical move, it takes no damage and changes into its Noice Face form. If a hailstorm or snowstorm begins while Eiscue is in its Noice Face form, or if it is sent out in its Noice Face form during hail, it will immediately revert to its Ice Face form."
"power-spot","https://pokeapi.co/api/v2/ability/249/","""The power of moves used by the allies of the Pokémon with Power Spot is increased by 30%."""
"mimicry","https://pokeapi.co/api/v2/ability/250/","Changes the Pokémon’s type depending on the terrain."
"screen-cleaner","https://pokeapi.co/api/v2/ability/251/","When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon."
"steely-spirit","https://pokeapi.co/api/v2/ability/252/","Powers up the Steel-type moves of the Pokémon and its allies."
"perish-body","https://pokeapi.co/api/v2/ability/253/","When the Pokémon with Perish Body is hit with a contact move, both the attacker and the Pokémon with Perish Body will faint in three turns."
"wandering-spirit","https://pokeapi.co/api/v2/ability/254/","The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact."
"gorilla-tactics","https://pokeapi.co/api/v2/ability/255/","Boosts the Pokémon’s Attack stat but only allows the use of the first selected move."
"neutralizing-gas","https://pokeapi.co/api/v2/ability/256/","While the Pokémon is in the battle, the effects of all other Pokémon’s Abilities will be nullified or will not be triggered."
"pastel-veil","https://pokeapi.co/api/v2/ability/257/","Prevents the Pokémon and its teammates from being poisoned. It also cures teammates of poisoning when it enters the battlefield."
"hunger-switch","https://pokeapi.co/api/v2/ability/258/","The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn."
"quick-draw","https://pokeapi.co/api/v2/ability/259/","If a Pokémon with this Ability selects a damaging move, it has a 30% chance of going first in its priority bracket."
"unseen-fist","https://pokeapi.co/api/v2/ability/260/","If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself."
"curious-medicine","https://pokeapi.co/api/v2/ability/261/","When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies."
"transistor","https://pokeapi.co/api/v2/ability/262/","Increases the power of Electric-type moves used by this Pokémon by 50%."
"dragons-maw","https://pokeapi.co/api/v2/ability/263/","Increases the power of Dragon-type moves used by this Pokémon by 50%."
"chilling-neigh","https://pokeapi.co/api/v2/ability/264/","When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat."
"grim-neigh","https://pokeapi.co/api/v2/ability/265/","When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat."
"as-one-glastrier","https://pokeapi.co/api/v2/ability/266/",""
"as-one-spectrier","https://pokeapi.co/api/v2/ability/267/",""
"lingering-aroma","https://pokeapi.co/api/v2/ability/268/","Contact with the Pokémon changes the attacker’s Ability to Lingering Aroma."
"seed-sower","https://pokeapi.co/api/v2/ability/269/","Turns the ground into Grassy Terrain when the Pokémon is hit by an attack."
